df
"300×4 DataFrame
 Row │ epoch  train_loss  test_loss  test_mean_rank_error
     │ Int64  Float32     Float32    Float32
─────┼────────────────────────────────────────────────────
 126 │   126     4.72982    4.78018               68.2769
 127 │   127     4.72806    4.78485               68.4234
 128 │   128     4.72616    4.77801               68.0562
 129 │   129     4.72416    4.7742                67.9031
 130 │   130     4.72214    4.77093               67.6752
 131 │   131     4.72054    4.77177               67.7584
 132 │   132     4.71866    4.76699               67.5213
 133 │   133     4.71662    4.767                 67.4158
 134 │   134     4.71496    4.76337               67.2754
 135 │   135     4.71323    4.76148               67.1603
 136 │   136     4.7114     4.76417               67.1841
 137 │   137     4.70974    4.76112               67.1331
 138 │   138     4.70801    4.75819               66.9751
 139 │   139     4.70617    4.75621               66.8181
 140 │   140     4.7045     4.75792               66.8742
 141 │   141     4.70292    4.75384               66.8092
 142 │   142     4.70146    4.75323               66.6821
 143 │   143     4.69991    4.75081               66.5479
 144 │   144     4.69841    4.75494               66.7325
 145 │   145     4.69664    4.74791               66.4242
 146 │   146     4.69504    4.7453                66.3611
 147 │   147     4.69395    4.74497               66.2357
 148 │   148     4.69224    4.74188               66.0386
 149 │   149     4.69099    4.74388               66.2385
 150 │   150     4.68941    4.7423                66.0022
 151 │   151     4.68822    4.741                 65.9914
 152 │   152     4.68693    4.73813               65.7575
 153 │   153     4.68531    4.73586               65.8087
 154 │   154     4.68396    4.738                 65.7206
 155 │   155     4.68299    4.73675               65.7661
 156 │   156     4.68122    4.73503               65.661
 157 │   157     4.68031    4.73447               65.6971
 158 │   158     4.67905    4.73205               65.5411
 159 │   159     4.67776    4.73338               65.6143
 160 │   160     4.67615    4.72915               65.3071
 161 │   161     4.67534    4.73022               65.4704
 162 │   162     4.67382    4.72759               65.3313
 163 │   163     4.67285    4.72845               65.2895
 164 │   164     4.67173    4.72692               65.2475
 165 │   165     4.67051    4.7255                65.2854
 166 │   166     4.66957    4.72334               65.0485
 167 │   167     4.6686     4.72225               64.9912
 168 │   168     4.66723    4.72233               64.925
 169 │   169     4.66615    4.72115               64.8205
 170 │   170     4.66522    4.71877               64.8785
 171 │   171     4.66393    4.71642               64.834
 172 │   172     4.66293    4.71714               64.679
 173 │   173     4.66192    4.71527               64.5965
 174 │   174     4.66097    4.71682               64.6638
 175 │   175     4.65997    4.71399               64.6224
 176 │   176     4.65862    4.7125                64.5113
 177 │   177     4.65783    4.71104               64.436
 178 │   178     4.65667    4.71139               64.4726
 179 │   179     4.65568    4.70843               64.3594
 180 │   180     4.65491    4.70698               64.1344
 181 │   181     4.65402    4.70709               64.2993
 182 │   182     4.65313    4.70458               64.1038
 183 │   183     4.65209    4.70868               64.3336
 184 │   184     4.65128    4.70822               64.3123
 185 │   185     4.65031    4.70602               64.1053
 186 │   186     4.64929    4.70464               64.1153
 187 │   187     4.6484     4.70488               64.1584
 188 │   188     4.64773    4.70102               63.8184
 189 │   189     4.6468     4.70076               63.9578
 190 │   190     4.64604    4.70016               63.8639
 191 │   191     4.64508    4.69957               63.8382
 192 │   192     4.64447    4.69891               63.6437
 193 │   193     4.64365    4.69774               63.7488
 194 │   194     4.64276    4.69521               63.7091
 195 │   195     4.64188    4.69762               63.6937
 196 │   196     4.64122    4.69435               63.5422
 197 │   197     4.64035    4.69514               63.6219
 198 │   198     4.63931    4.69379               63.6716
 199 │   199     4.63897    4.69622               63.6594
 200 │   200     4.63809    4.6935                63.4795
 201 │   201     4.63742    4.69175               63.3404
 202 │   202     4.63667    4.69263               63.498
 203 │   203     4.63569    4.69167               63.3886
 204 │   204     4.63498    4.68888               63.3031
 205 │   205     4.63415    4.6877                63.1579
 206 │   206     4.63362    4.6913                63.3703
 207 │   207     4.63308    4.68687               63.1209
 208 │   208     4.63216    4.69107               63.379
 209 │   209     4.63142    4.68708               63.2465
 210 │   210     4.63064    4.68913               63.302
 211 │   211     4.62993    4.68469               63.09
 212 │   212     4.62957    4.68638               63.1403
 213 │   213     4.62885    4.6868                63.0788
 214 │   214     4.62829    4.68428               63.0391
 215 │   215     4.62738    4.68319               62.9612
 216 │   216     4.62671    4.67981               62.862
 217 │   217     4.62626    4.6827                63.0282
 218 │   218     4.62562    4.68293               63.0262
 219 │   219     4.62496    4.67872               62.8666
 220 │   220     4.62442    4.68061               62.9371
 221 │   221     4.62357    4.67998               62.7695
 222 │   222     4.62288    4.67897               62.7271
 223 │   223     4.62238    4.67941               62.8813
 224 │   224     4.6218     4.68091               62.9282
 225 │   225     4.62104    4.67811               62.7796
 226 │   226     4.62043    4.67705               62.656
 227 │   227     4.61973    4.67621               62.5878
 228 │   228     4.61918    4.67524               62.6185
 229 │   229     4.61896    4.67608               62.6003
 230 │   230     4.61812    4.67735               62.7381
 231 │   231     4.61774    4.67523               62.6769
 232 │   232     4.6167     4.67308               62.4807
 233 │   233     4.61624    4.67428               62.6618
 234 │   234     4.61586    4.67178               62.4514
 235 │   235     4.61503    4.67318               62.5422
 236 │   236     4.61458    4.67136               62.49
 237 │   237     4.61419    4.66996               62.4909
 238 │   238     4.61355    4.66938               62.2705
 239 │   239     4.61283    4.67004               62.3822
 240 │   240     4.61245    4.66887               62.4396
 241 │   241     4.61166    4.66869               62.246
 242 │   242     4.61126    4.66444               62.1431
 243 │   243     4.61093    4.66665               62.1194
 244 │   244     4.61043    4.66896               62.3616
 245 │   245     4.60964    4.66704               62.2384
 246 │   246     4.60909    4.6641                62.0844
 247 │   247     4.60855    4.66515               62.0826
 248 │   248     4.60784    4.66487               62.1916
 249 │   249     4.6077     4.6629                61.9959
 250 │   250     4.60699    4.66332               62.004
 251 │   251     4.6068     4.66431               62.1163
 252 │   252     4.60613    4.66219               61.901
 253 │   253     4.60571    4.6592                61.9429
 254 │   254     4.60479    4.66082               61.9904
 255 │   255     4.60454    4.66048               61.9685
 256 │   256     4.60372    4.66174               62.0011
 257 │   257     4.60343    4.65973               61.963
 258 │   258     4.60275    4.65919               61.8332
 259 │   259     4.60237    4.66051               61.8241
 260 │   260     4.60174    4.6604                61.9486
 261 │   261     4.60132    4.65939               61.8228
 262 │   262     4.60094    4.65974               61.9264
 263 │   263     4.60014    4.65676               61.7213
 264 │   264     4.59973    4.65616               61.7206
 265 │   265     4.59941    4.65845               61.6969
 266 │   266     4.5988     4.65619               61.5994
 267 │   267     4.5982     4.65506               61.623
 268 │   268     4.59769    4.65692               61.673
 269 │   269     4.59736    4.65454               61.6558
 270 │   270     4.59676    4.65556               61.6877
 271 │   271     4.59634    4.65295               61.5789
 272 │   272     4.59606    4.65577               61.6968
 273 │   273     4.59529    4.65359               61.5798
 274 │   274     4.59497    4.65085               61.3779
 275 │   275     4.59444    4.65456               61.5768
 276 │   276     4.59398    4.65092               61.4827
 277 │   277     4.59353    4.6497                61.3297
 278 │   278     4.59295    4.65188               61.4975
 279 │   279     4.59281    4.64982               61.3423
 280 │   280     4.5921     4.65031               61.4016
 281 │   281     4.59166    4.64846               61.3271
 282 │   282     4.59096    4.64651               61.2901
 283 │   283     4.59085    4.65094               61.3462
 284 │   284     4.59019    4.64761               61.2922
 285 │   285     4.58976    4.64751               61.2857
 286 │   286     4.58927    4.64726               61.263
 287 │   287     4.58907    4.64654               61.2165
 288 │   288     4.58857    4.64714               61.1861
 289 │   289     4.58828    4.64628               61.3092
 290 │   290     4.58768    4.64433               61.0734
 291 │   291     4.58705    4.64372               61.1002
 292 │   292     4.58673    4.64568               61.2142
 293 │   293     4.58651    4.64619               61.1895
 294 │   294     4.58604    4.64062               60.9558
 295 │   295     4.58561    4.64407               61.0421
 296 │   296     4.58538    4.64399               61.0708
 297 │   297     4.58482    4.64023               60.88
 298 │   298     4.58443    4.64265               61.0407
 299 │   299     4.58427    4.64028               60.9408
 300 │   300     4.58372    4.64159               60.9522"
